,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65b3bf8583497e6dcd4934c8,5,Using this was a nice experience!,,2024-01-26T16:19:50.000Z,"January 26, 2024",Trizzy,1,PH,https://www.trustpilot.com/reviews/65b3bf8583497e6dcd4934c8,https://www.trustpilot.com/users/655778b6cc41c10011ce43c8
65b3bcbeb7b1db129a3fd16a,5,i like their  music!,,2024-01-26T16:07:59.000Z,"January 26, 2024",Gorya,1,PH,https://www.trustpilot.com/reviews/65b3bcbeb7b1db129a3fd16a,https://www.trustpilot.com/users/65b3bca030f32b0012483b07
65b3b1db867f971ab9e58ac7,5,Good project,,2024-01-26T15:21:31.000Z,"January 26, 2024",Hartanto Samarinda,1,ID,https://www.trustpilot.com/reviews/65b3b1db867f971ab9e58ac7,https://www.trustpilot.com/users/65b3b1c17a195f0012718254
65b3ae8b6984666e64881257,5,This is so cool,,2024-01-26T15:07:24.000Z,"January 26, 2024",Jemimah,1,PH,https://www.trustpilot.com/reviews/65b3ae8b6984666e64881257,https://www.trustpilot.com/users/65b3ae047a195f0012717f58
65b3aab9689a5c61d063062c,5,well this app is so good so i recommend…,well this app is so good so i recommend it to all of you!,2024-01-26T14:51:05.000Z,"January 26, 2024",GNC_Valencia Nicole,3,PH,https://www.trustpilot.com/reviews/65b3aab9689a5c61d063062c,https://www.trustpilot.com/users/64a04f91e4b8c60012cb4b4a
65b3a6fa24e585fa7329362c,5,Great choice,,2024-01-26T14:35:07.000Z,"January 26, 2024",Abu Nawas,1,ID,https://www.trustpilot.com/reviews/65b3a6fa24e585fa7329362c,https://www.trustpilot.com/users/65b3a6cf8f8de10012592209
65b3a550c9174c35375331ff,5,this is very amazing,,2024-01-26T14:28:01.000Z,"January 26, 2024",arn gvrl,1,ID,https://www.trustpilot.com/reviews/65b3a550c9174c35375331ff,https://www.trustpilot.com/users/65b3a5467f369e001179b153
65b3a0ae84374f98ee66b939,5,Love this !,Love this !! 💞💞,2024-01-26T14:08:14.000Z,"January 24, 2024",Naomi Remulla,5,PH,https://www.trustpilot.com/reviews/65b3a0ae84374f98ee66b939,https://www.trustpilot.com/users/629eb40c846778001351c1cf
65b39f1bf15a0c1bfc3b977b,5,So good yessss,,2024-01-26T14:01:32.000Z,"September 06, 2023",Ronin Yu,1,PH,https://www.trustpilot.com/reviews/65b39f1bf15a0c1bfc3b977b,https://www.trustpilot.com/users/65b39edca052ec00121792a2
65b39cfad67fb8c59d4715ec,5,This is so great,"This is so great, i like it",2024-01-26T13:52:27.000Z,"January 26, 2024",Annisa Meutia Devi,1,ID,https://www.trustpilot.com/reviews/65b39cfad67fb8c59d4715ec,https://www.trustpilot.com/users/65b39ce9b5b6a90012c7dbc6
65b39be93d6191af162d3706,5,amazing,amazing! recommended for everyone,2024-01-26T13:47:54.000Z,"January 25, 2024",nanad cantik,1,ID,https://www.trustpilot.com/reviews/65b39be93d6191af162d3706,https://www.trustpilot.com/users/651be68ef49e5000125a280a
