place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,2975d9173dd3270a1b3adf75d11dad12,5,Food was surprisingly good.  Space was larger than I expected and the sound was true.  I want to see more shows at this place. The managers put their heart and soul into it.,11 months ago,2023-04-29 13:03:49.610287,,,,2,38,33,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,a26dc45bcd33f5c54f7cf6a9ce2d6c7e,5,Oakland had a great event venue with a stage all perfect for story slam and bands - across from Sprouts on Broadway,11 months ago,2023-04-29 13:03:49.613684,,,,2,86,120,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,3086bb1deebf4c05634f88c431818c37,5,,a year ago,2023-03-29 13:03:49.617015,,,,0,8,5,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,e9d92773862c8a0a5e521a60274fc334,5,Great place for quality music performances!!!,a year ago,2023-03-29 13:03:49.619507,,,,0,25,236,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,33215aba3c24abd9754b830481444489,5,Latin jazz artist were jammin! They really seem to enjoy playing for us. Food was delicious.,a year ago,2023-03-29 13:03:49.622351,,,,0,56,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,7f4d2ed888b7ce38b4983e2377adfc84,5,,a year ago,2023-03-29 13:03:49.625071,,,,0,5,,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,52857168e9693afb888fe67d96cab179,5,Amazing concert and ambience!,a year ago,2023-03-29 13:03:49.627183,,,,0,17,20,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,310e7662e1fabe5649cd0c7119599688,5,,a year ago,2023-03-29 13:03:49.629644,,,,0,34,43,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,37cc819855b0060b8f9b09cf38bf6ee8,5,Nice acoustics!,a year ago,2023-03-29 13:03:50.110948,,,,0,47,43,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,5d422afbdc17e360a8b08d19ac605af2,5,,a year ago,2023-03-29 13:03:50.114549,,,,0,4,54,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,ec8eddeb20d0ba007434f4b7dee19e46,5,,a year ago,2023-03-29 13:03:50.117346,,,,0,1,3,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,d5d8828c955ef5f7f783316413ab4ea2,5,"Small space, great sound, very intimate music hall. Go.",a year ago,2023-03-29 13:03:50.119732,,,,0,528,3695,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,f23e87247f46755fac051eeedbddfe66,5,"Cozy, intimate,  hip setting...great sound system and engineer. Presenting a variety of visual as well as  performance artists. Food served also... I didnt eat there on my visit. However, I did hear words of appreciation and enjoyment from those who dined. An altogether lovely evening of young jazz musicians and friendly atmosphere",a year ago,2023-03-29 13:03:50.122512,,,,0,101,4,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,190f51e2843abfc001908100d57af818,5,We had a wonderful time.   A nice glass of wine and great music.,a year ago,2023-03-29 13:03:50.125063,,,,0,295,,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,f463a0ebef78ef067c9cb3d20436bacc,5,This trip to tge sound room was a Christmas gift from our son. Very fun- great time!,a year ago,2023-03-29 13:03:50.127437,,,,4,81,171,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,884c54df4d3775e753965d03e437c715,5,,a year ago,2023-03-29 13:03:50.129742,,,,0,6,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,68f91605e3f8d948688119e4b3de953e,5,Intimate vibe with good acoustics and a friendly staff. I highly recommend the Sound Room experience.,a year ago,2023-03-29 13:03:50.131739,,,,1,9,3,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,d78698e5c8c9eda1e8e2dcba4f6dd550,5,Great nonprofit source of live intimate and idiosyncratic  And diverse music,a year ago,2023-03-29 13:03:50.133850,,,,0,30,1200,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,8b2d7db91f85aa68bc7e7d55974e38f0,5,,a year ago,2023-03-29 13:03:50.620777,,,,0,21,,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,ba038bcc59f5c731ece775e7e9b2cb60,5,,a year ago,2023-03-29 13:03:50.624047,,,,0,5,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,89fc8357347dfce5e0db5a837f3d0479,5,Great food & music.,a year ago,2023-03-29 13:03:50.626895,,,,0,3,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,dfd810241b148df76f200e056a0b7591,5,Great spot for community shows.,a year ago,2023-03-29 13:03:50.629878,,,,0,51,15,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,229982eb2d11b37101f213b69a654962,5,Great place with a great vibe.,a year ago,2023-03-29 13:03:50.632708,,,,0,137,434,True,,
